dataset,kernel,balanced_accuracy,accuracy,macro_f1,effective_rank,effective_rank_ratio,kta,offdiag_var
PneumoniaMNIST,global,0.7453333333333333,0.795,0.7593261131167268,142.03528510873863,0.2840705702174773,0.18112363602821718,0.0127865799604063
PneumoniaMNIST,local_1qubit,0.7613333333333334,0.805,0.7750281214848144,4.006706331617816,0.008013412663235632,0.25921399531822087,0.013393676106762026
PneumoniaMNIST,local_2qubit,0.732,0.785,0.7452531176871353,8.781319925121743,0.017562639850243485,0.24736063639408387,0.027727483754998644
PneumoniaMNIST,local_4qubit,0.752,0.8,0.7662459093034129,28.009293637981752,0.056018587275963504,0.22697891377960402,0.032719158102049985
PneumoniaMNIST,multiscale,0.756,0.805,0.7710663027207889,50.2915656087693,0.10058313121753859,0.23578489787687532,0.017163429532782715
PneumoniaMNIST,hierarchical,0.756,0.805,0.7710663027207889,28.153403363580455,0.05630680672716091,0.24590573794056128,0.01854702368750716
PneumoniaMNIST,global_entangled,0.7453333333333333,0.795,0.7593261131167268,142.03528510873863,0.2840705702174773,0.1811236360282172,0.0127865799604063
PneumoniaMNIST,local_2qubit_entangled,0.7306666666666667,0.78,0.7428705002337541,6.255437348048959,0.012510874696097919,0.2109330788933307,0.021224594395701853
PneumoniaMNIST,multiscale_entangled,0.728,0.78,0.740535440500059,45.15112976060497,0.09030225952120993,0.2234935701693557,0.013234119774435716
PneumoniaMNIST,classical_rbf,0.7453333333333333,0.795,0.7593261131167268,,,,
PneumoniaMNIST,classical_linear,0.7413333333333334,0.79,0.7545582047685835,,,,
BreastMNIST,global,0.681077694235589,0.7756410256410257,0.6928270042194093,107.16630724542472,0.19627528799528338,0.05050274799620372,0.017152302426635246
BreastMNIST,local_1qubit,0.5952380952380952,0.782051282051282,0.5951145038167939,3.593957511737486,0.00658233976508697,0.05832737925561399,0.012496849074182357
BreastMNIST,local_2qubit,0.6578947368421052,0.8076923076923077,0.6823241922345914,7.569153352569229,0.01386291822814877,0.05633354899107689,0.027674997590298244
BreastMNIST,local_4qubit,0.6052631578947368,0.7307692307692307,0.6132231404958678,22.776277564800587,0.04171479407472635,0.05461700890996425,0.03518326666994086
BreastMNIST,multiscale,0.6691729323308271,0.7692307692307693,0.6811265046559164,39.359220653758626,0.07208648471384364,0.057434990258545794,0.019671021647689028
BreastMNIST,hierarchical,0.662907268170426,0.782051282051282,0.680327868852459,22.530714832799397,0.041265045481317576,0.05860405080531231,0.020068184793417775
BreastMNIST,global_entangled,0.681077694235589,0.7756410256410257,0.6928270042194093,107.16630724542472,0.19627528799528338,0.050502747996203724,0.01715230242663525
BreastMNIST,local_2qubit_entangled,0.531328320802005,0.7435897435897436,0.4900294213795358,5.2350740627617816,0.009588047733995938,0.04037005363387878,0.018356903588847822
BreastMNIST,multiscale_entangled,0.6691729323308271,0.7692307692307693,0.6811265046559164,35.04646689698773,0.06418766830950134,0.0519520126807973,0.014241875155757545
BreastMNIST,classical_rbf,0.6785714285714286,0.75,0.6799074025359079,,,,
BreastMNIST,classical_linear,0.5714285714285714,0.7692307692307693,0.5568181818181819,,,,
RetinaMNIST,global,0.22591939324455418,0.365,0.21733821991369387,68.70077802721995,0.1374015560544399,0.09324845142228835,0.025770805383087427
RetinaMNIST,local_1qubit,0.23226621983126083,0.425,0.19774891774891776,3.2196928721033453,0.006439385744206691,0.07939753336716045,0.012529801219214098
RetinaMNIST,local_2qubit,0.2376488226474998,0.42,0.2098223413266349,6.433050276166915,0.01286610055233383,0.08382292505969485,0.029596971040338364
RetinaMNIST,local_4qubit,0.2397066172795955,0.42,0.22432777730772485,17.0073083490153,0.0340146166980306,0.08848315861243225,0.04183323462163089
RetinaMNIST,multiscale,0.22233589087809036,0.37,0.21602073154868187,28.018596593535296,0.056037193187070594,0.09456613798797735,0.024779650641762886
RetinaMNIST,hierarchical,0.22515506952406153,0.365,0.21625608813311312,16.848192062735116,0.033696384125470234,0.09273486226940214,0.023846404279044088
RetinaMNIST,global_entangled,0.22591939324455418,0.365,0.21733821991369387,68.70077802721995,0.1374015560544399,0.09324845142228834,0.025770805383087427
RetinaMNIST,local_2qubit_entangled,0.25324102654555075,0.445,0.22995223978919635,5.08281362773911,0.01016562725547822,0.07824531962704918,0.02211958480310676
RetinaMNIST,multiscale_entangled,0.2394626216303613,0.395,0.2322014616309976,25.97148903743834,0.051942978074876675,0.09379097417036432,0.020139108343228292
RetinaMNIST,classical_rbf,0.25963782814475117,0.45,0.24225298930144742,,,,
RetinaMNIST,classical_linear,0.2742011347267543,0.475,0.24398268398268397,,,,
BloodMNIST,global,0.5665176731353202,0.6,0.5824585661508097,140.32568696346002,0.28065137392692,0.3031589240421967,0.012295389102637331
BloodMNIST,local_1qubit,0.6380563255563255,0.675,0.6583601680027592,4.056452468701273,0.008112904937402545,0.2669589802554401,0.012667447985997057
